Date,Product,Category,Sales,Quantity,Region
2023-01-16,Product A,Category 1,118.55,1,East
2023-01-16,Product A,Category 1,76.76,10,East
2023-01-17,Product C,Category 1,134.53,7,South
2023-01-17,Product C,Category 1,87.98,8,South
2023-01-17,Product B,Category 1,373.29,7,West
2023-01-17,Product B,Category 1,456.69,1,South
2023-01-18,Product A,Category 2,177.24,5,East
2023-01-18,Product C,Category 3,340.9,19,South
2023-01-19,Product B,Category 1,258.43,5,East
2023-01-19,Product B,Category 3,468.86,18,West
2023-01-19,Product A,Category 1,289.52,13,West
2023-01-19,Product B,Category 1,217.02,10,East
2023-01-20,Product B,Category 2,131.78,14,West
2023-01-20,Product B,Category 1,391.71,11,West
2023-01-21,Product B,Category 3,465.18,8,East
2023-01-21,Product B,Category 1,141.61,1,West
2023-01-21,Product C,Category 3,217.14,9,East
2023-01-21,Product C,Category 3,441.02,15,West
2023-01-21,Product A,Category 2,252.71,10,South
2023-01-21,Product A,Category 3,308.65,1,West
2023-01-21,Product C,Category 2,313.92,15,South
2023-01-22,Product B,Category 2,369.9,8,East
2023-01-22,Product C,Category 2,189.54,7,North
2023-01-22,Product B,Category 3,75.26,3,South
2023-01-22,Product C,Category 2,148.33,10,East
2023-01-23,Product C,Category 1,248.55,16,North
2023-01-23,Product B,Category 3,129.73,15,West
2023-01-23,Product C,Category 2,55.86,3,South
2023-01-23,Product B,Category 2,65.15,17,North
2023-01-24,Product C,Category 1,294.15,7,South
2023-01-24,Product C,Category 3,127.33,14,West
2023-01-24,Product B,Category 3,165.51,11,West
2023-01-24,Product C,Category 2,220.78,4,East
2023-01-24,Product A,Category 1,51.43,19,West
2023-01-25,Product C,Category 2,453.08,18,East
2023-01-25,Product A,Category 3,258.48,17,West
2023-01-25,Product C,Category 3,449.62,2,East
2023-01-26,Product B,Category 2,149.22,10,East
2023-01-26,Product B,Category 2,256.37,8,East
2023-01-26,Product C,Category 1,224.33,13,East
2023-01-26,Product B,Category 3,170.98,17,South
2023-01-27,Product B,Category 1,210.5,1,East
2023-01-27,Product A,Category 2,453.95,8,West
2023-01-27,Product C,Category 1,201.58,19,East
2023-01-27,Product A,Category 2,289.22,19,North
2023-01-27,Product A,Category 1,474.79,8,West
2023-01-27,Product A,Category 2,445.94,13,South
2023-01-28,Product B,Category 2,389.35,3,South
2023-01-28,Product B,Category 1,435.59,19,West
2023-01-28,Product C,Category 2,376.33,10,West
2023-01-28,Product A,Category 3,142.24,16,South
2023-01-28,Product B,Category 1,70.18,15,East
2023-01-28,Product B,Category 2,195.36,6,South
2023-01-28,Product A,Category 2,121.38,17,West
2023-01-29,Product C,Category 1,65.02,17,East
2023-01-29,Product A,Category 3,303.5,2,East
2023-01-29,Product B,Category 3,90.42,18,South
2023-01-29,Product C,Category 1,297.2,16,West
2023-01-29,Product B,Category 3,499.76,16,East
2023-01-30,Product C,Category 3,456.01,10,West
2023-01-30,Product C,Category 3,237.04,3,North
2023-01-30,Product A,Category 3,116.68,3,East
2023-01-30,Product B,Category 3,391.83,11,West
2023-01-30,Product A,Category 2,108.42,10,South
2023-01-30,Product B,Category 3,63.35,2,South
2023-02-01,Product C,Category 1,383.44,18,North
2023-02-01,Product C,Category 2,321.38,11,South
2023-02-01,Product A,Category 2,70.15,16,West
2023-02-02,Product C,Category 1,468.17,2,North
2023-02-02,Product A,Category 3,285.1,19,West
2023-02-02,Product A,Category 2,72.27,9,East
2023-02-02,Product A,Category 2,202.9,17,North
2023-02-02,Product B,Category 2,475.99,10,North
2023-02-02,Product B,Category 3,157.49,2,West
2023-02-02,Product C,Category 1,477.08,9,North
2023-02-03,Product B,Category 1,163.77,1,South
2023-02-03,Product A,Category 3,499.87,1,West
2023-02-03,Product C,Category 1,425.93,4,East
2023-02-03,Product C,Category 2,393.4,17,East
2023-02-03,Product A,Category 1,376.57,18,West
2023-02-04,Product C,Category 2,52.55,10,West
2023-02-04,Product A,Category 2,191.84,8,North
2023-02-04,Product B,Category 2,201.8,19,East
2023-02-04,Product A,Category 3,225.83,19,North
2023-02-04,Product A,Category 3,166.18,5,West
2023-02-05,Product A,Category 1,252.56,11,South
2023-02-05,Product B,Category 2,332.8,17,North
2023-02-05,Product A,Category 2,213.66,13,East
2023-02-05,Product A,Category 2,298.43,8,West
2023-02-05,Product C,Category 1,145.0,17,North
2023-02-06,Product C,Category 3,59.91,12,South
2023-02-06,Product B,Category 2,442.22,15,South
2023-02-06,Product A,Category 3,163.54,9,West
2023-02-06,Product C,Category 2,298.63,15,East
2023-02-07,Product C,Category 1,223.85,3,West
2023-02-07,Product C,Category 3,225.39,8,North
2023-02-07,Product C,Category 3,69.97,15,South
2023-02-07,Product B,Category 2,490.84,17,South
2023-02-08,Product B,Category 3,412.14,4,South
2023-02-08,Product A,Category 1,422.02,8,East
2023-02-08,Product B,Category 3,186.1,3,West
2023-02-08,Product C,Category 3,164.29,10,South
2023-02-08,Product C,Category 2,417.53,2,North
2023-02-08,Product C,Category 1,106.58,13,West
2023-02-08,Product C,Category 3,305.23,13,West
2023-02-09,Product B,Category 3,357.69,9,North
2023-02-10,Product B,Category 3,328.88,18,West
2023-02-10,Product A,Category 3,151.77,7,West
2023-02-10,Product A,Category 2,391.29,7,South
2023-02-11,Product A,Category 2,444.77,10,South
2023-02-11,Product C,Category 1,439.95,12,North
2023-02-11,Product A,Category 2,138.13,2,East
2023-02-12,Product A,Category 3,140.29,11,North
2023-02-12,Product B,Category 1,147.22,13,East
2023-02-12,Product A,Category 1,183.06,14,West
2023-02-13,Product A,Category 1,490.9,6,South
2023-02-13,Product C,Category 3,376.32,5,East
2023-02-13,Product C,Category 1,68.75,13,West
2023-02-13,Product A,Category 2,497.59,18,West
2023-02-14,Product A,Category 3,193.85,4,North
2023-02-14,Product A,Category 1,201.63,15,West
2023-02-14,Product B,Category 1,113.43,19,East
2023-02-14,Product A,Category 2,436.53,19,West
2023-02-15,Product B,Category 3,410.16,9,East
2023-02-15,Product C,Category 2,334.81,9,North
2023-02-15,Product A,Category 3,438.3,1,North
2023-02-15,Product A,Category 3,418.11,12,North
2023-02-15,Product C,Category 2,476.33,8,West
2023-02-16,Product A,Category 1,360.54,1,North
2023-02-16,Product C,Category 3,272.6,18,South
2023-02-16,Product B,Category 1,148.91,13,East
2023-02-16,Product C,Category 3,260.05,10,West
2023-02-16,Product A,Category 2,393.12,10,North
2023-02-16,Product C,Category 2,203.81,3,West
2023-02-16,Product B,Category 3,425.97,15,South
2023-02-17,Product C,Category 1,405.12,16,East
2023-02-17,Product C,Category 2,132.36,14,West
2023-02-17,Product B,Category 2,64.69,7,East
2023-02-17,Product A,Category 1,59.3,16,North
2023-02-17,Product A,Category 1,302.08,6,East
2023-02-17,Product B,Category 3,402.07,15,East
2023-02-17,Product B,Category 1,378.44,17,South
2023-02-17,Product A,Category 2,262.84,11,West
2023-02-18,Product C,Category 2,382.56,12,East
2023-02-18,Product A,Category 2,151.49,4,South
2023-02-18,Product C,Category 2,428.78,3,North
2023-02-18,Product B,Category 3,183.53,3,West
2023-02-19,Product B,Category 3,379.6,18,North
2023-02-19,Product B,Category 2,160.61,10,South
2023-02-19,Product C,Category 3,308.23,10,North
2023-02-19,Product C,Category 1,231.75,10,East
2023-02-20,Product B,Category 3,189.5,6,North
2023-02-20,Product C,Category 1,109.11,1,East
2023-02-20,Product B,Category 3,417.51,1,West
2023-02-20,Product C,Category 3,375.41,16,West
2023-02-20,Product B,Category 3,459.23,14,South
2023-02-20,Product B,Category 2,202.9,17,East
2023-02-20,Product C,Category 2,151.2,9,South
2023-02-20,Product B,Category 2,159.95,14,North
2023-02-21,Product C,Category 1,104.11,10,West
2023-02-21,Product A,Category 2,326.06,19,South
2023-02-21,Product A,Category 3,388.3,16,South
2023-02-21,Product A,Category 1,412.79,18,North
2023-02-21,Product A,Category 2,374.77,19,South
2023-02-21,Product C,Category 3,249.86,18,East
2023-02-22,Product B,Category 1,111.11,16,East
2023-02-22,Product B,Category 3,231.79,15,North
2023-02-22,Product B,Category 3,217.04,19,West
2023-02-22,Product B,Category 2,56.39,19,South
2023-02-22,Product B,Category 2,203.17,15,North
2023-02-22,Product C,Category 1,382.99,13,West
2023-02-22,Product B,Category 3,450.0,6,West
2023-02-22,Product A,Category 3,233.74,6,East
2023-02-23,Product C,Category 3,487.41,12,East
2023-02-23,Product A,Category 3,296.77,13,South
2023-02-23,Product C,Category 1,362.5,12,West
2023-02-23,Product C,Category 2,272.52,17,South
2023-02-23,Product A,Category 1,171.03,10,West
2023-02-23,Product B,Category 2,50.2,8,North
2023-02-23,Product C,Category 3,319.41,9,North
2023-02-23,Product C,Category 2,422.54,16,South
2023-02-23,Product B,Category 2,203.17,8,South
2023-02-24,Product A,Category 2,53.16,4,East
2023-02-24,Product A,Category 2,218.66,17,East
2023-02-24,Product A,Category 1,274.21,6,East
2023-02-25,Product A,Category 2,70.05,12,North
2023-02-25,Product B,Category 2,381.29,19,North
2023-02-25,Product B,Category 2,117.32,17,East
2023-02-26,Product B,Category 1,119.21,12,North
2023-02-26,Product C,Category 1,222.91,4,South
2023-02-26,Product C,Category 2,468.9,5,North
2023-02-27,Product B,Category 1,431.21,17,East
2023-02-27,Product B,Category 1,295.17,12,West
2023-02-27,Product A,Category 3,95.57,6,West
2023-02-27,Product C,Category 2,275.97,13,South
2023-02-27,Product B,Category 3,297.11,14,East
2023-02-27,Product B,Category 1,161.11,13,South
2023-02-27,Product A,Category 2,402.16,17,North
2023-02-27,Product C,Category 1,310.63,19,East
2023-02-27,Product B,Category 1,444.94,8,West
2023-02-28,Product C,Category 3,266.6,11,East
2023-02-28,Product A,Category 3,239.05,2,North
2023-02-28,Product A,Category 2,219.61,4,South
2023-03-01,Product A,Category 1,427.17,10,West
2023-03-01,Product A,Category 1,94.69,8,South
2023-03-01,Product C,Category 2,315.63,14,East
2023-03-01,Product B,Category 1,302.58,5,East
2023-03-01,Product A,Category 3,174.07,8,North
2023-03-02,Product B,Category 1,136.0,12,East
2023-03-02,Product C,Category 2,170.26,3,West
2023-03-02,Product C,Category 3,225.44,7,East
2023-03-02,Product B,Category 3,171.06,8,South
2023-03-02,Product B,Category 2,350.09,16,South
2023-03-02,Product A,Category 2,77.6,5,South
2023-03-03,Product B,Category 3,494.79,9,North
2023-03-03,Product C,Category 3,445.92,15,East
2023-03-03,Product A,Category 1,301.09,7,South
2023-03-03,Product A,Category 3,309.76,11,East
2023-03-03,Product B,Category 1,369.06,7,North
2023-03-03,Product C,Category 1,440.12,13,North
2023-03-04,Product A,Category 3,389.22,13,South
2023-03-04,Product B,Category 2,404.14,6,West
2023-03-04,Product C,Category 2,302.39,12,South
2023-03-04,Product A,Category 1,53.02,19,East
2023-03-04,Product A,Category 3,301.02,10,North
2023-03-04,Product A,Category 3,265.05,1,South
2023-03-05,Product A,Category 1,75.78,19,West
2023-03-06,Product B,Category 2,348.88,18,East
2023-03-06,Product A,Category 2,94.49,2,West
2023-03-06,Product A,Category 1,99.94,9,North
2023-03-06,Product A,Category 2,379.87,10,South
2023-03-06,Product A,Category 1,329.41,12,South
2023-03-07,Product C,Category 3,340.58,5,East
2023-03-07,Product B,Category 3,102.94,1,East
2023-03-07,Product C,Category 3,64.68,15,South
2023-03-08,Product A,Category 1,235.7,14,West
2023-03-08,Product A,Category 3,112.49,15,South
2023-03-08,Product C,Category 3,200.03,17,West
2023-03-09,Product B,Category 3,458.32,4,East
2023-03-09,Product B,Category 2,76.59,5,East
2023-03-10,Product B,Category 2,264.42,16,South
2023-03-10,Product C,Category 3,463.43,6,West
2023-03-10,Product B,Category 3,433.65,7,South
2023-03-10,Product B,Category 3,402.36,7,North
2023-03-10,Product A,Category 1,152.03,18,East
2023-03-10,Product A,Category 1,356.34,11,North
2023-03-10,Product C,Category 1,230.42,3,East
2023-03-11,Product A,Category 3,97.37,5,West
2023-03-11,Product A,Category 2,237.11,17,North
2023-03-11,Product C,Category 1,107.35,11,South
2023-03-11,Product C,Category 2,338.29,8,East
2023-03-12,Product C,Category 1,190.92,17,East
2023-03-12,Product A,Category 3,93.9,9,East
2023-03-12,Product C,Category 1,51.3,18,North
2023-03-13,Product A,Category 3,346.83,3,South
2023-03-13,Product A,Category 2,298.4,9,West
2023-03-13,Product B,Category 3,380.98,4,South
2023-03-14,Product B,Category 3,232.59,1,South
2023-03-14,Product B,Category 1,262.43,19,East
2023-03-15,Product B,Category 3,243.55,16,West
2023-03-15,Product C,Category 3,143.19,4,South
2023-03-15,Product A,Category 2,495.75,11,West
2023-03-15,Product C,Category 1,468.58,5,West
2023-03-16,Product A,Category 1,75.97,16,South
2023-03-16,Product C,Category 1,91.86,18,West
2023-03-16,Product A,Category 2,309.67,18,East
2023-03-16,Product A,Category 2,353.81,17,North
2023-03-16,Product B,Category 3,203.37,5,South
2023-03-16,Product B,Category 2,380.13,7,South
2023-03-17,Product A,Category 3,69.03,13,West
2023-03-17,Product C,Category 2,462.56,14,East
2023-03-17,Product C,Category 3,316.86,18,West
2023-03-19,Product C,Category 3,485.17,7,South
2023-03-19,Product B,Category 3,106.41,5,West
2023-03-20,Product B,Category 3,444.81,19,North
2023-03-20,Product C,Category 1,480.34,15,North
2023-03-21,Product A,Category 2,338.09,4,North
2023-03-21,Product A,Category 1,435.71,16,East
2023-03-21,Product C,Category 2,445.77,12,East
2023-03-22,Product A,Category 3,210.19,9,East
2023-03-22,Product C,Category 3,471.69,19,North
2023-03-22,Product A,Category 1,125.21,3,South
2023-03-22,Product B,Category 2,282.92,15,North
2023-03-22,Product C,Category 1,244.12,12,North
2023-03-22,Product B,Category 2,88.89,14,East
2023-03-23,Product C,Category 1,262.8,17,East
2023-03-23,Product B,Category 3,292.47,9,North
2023-03-23,Product B,Category 2,431.27,8,South
2023-03-23,Product A,Category 3,177.72,15,South
2023-03-23,Product B,Category 2,491.23,5,West
2023-03-24,Product A,Category 2,364.24,2,North
2023-03-24,Product B,Category 2,223.3,10,South
2023-03-24,Product A,Category 2,172.2,14,South
2023-03-25,Product C,Category 2,430.16,16,West
2023-03-25,Product C,Category 1,337.82,17,East
2023-03-25,Product C,Category 2,430.63,2,West
2023-03-25,Product B,Category 2,345.26,17,East
2023-03-25,Product A,Category 1,165.22,10,East
2023-03-25,Product A,Category 1,254.28,15,East
2023-03-26,Product C,Category 3,131.14,8,North
2023-03-26,Product A,Category 1,478.8,19,West
2023-03-26,Product B,Category 1,271.37,17,West
2023-03-26,Product C,Category 3,335.95,12,West
2023-03-27,Product B,Category 3,475.99,7,East
2023-03-27,Product B,Category 1,288.99,16,North
2023-03-27,Product C,Category 2,299.6,9,East
2023-03-27,Product B,Category 1,485.49,4,West
2023-03-27,Product A,Category 1,423.06,16,North
2023-03-27,Product A,Category 2,67.09,1,North
2023-03-27,Product A,Category 1,438.78,1,South
2023-03-27,Product A,Category 1,335.49,13,North
2023-03-28,Product A,Category 1,439.87,19,East
2023-03-29,Product C,Category 1,257.07,10,South
2023-03-29,Product A,Category 1,141.32,6,North
2023-03-29,Product C,Category 2,128.07,1,East
2023-03-30,Product B,Category 2,66.33,6,East
2023-03-30,Product A,Category 2,380.56,5,North
2023-03-30,Product C,Category 2,433.73,15,West
2023-03-30,Product C,Category 1,147.24,10,North
2023-03-31,Product C,Category 3,210.28,7,South
2023-03-31,Product C,Category 2,301.63,1,North
2023-03-31,Product A,Category 1,419.87,1,West
2023-03-31,Product B,Category 1,331.78,4,East
2023-03-31,Product C,Category 2,227.63,8,West
2023-03-31,Product B,Category 3,229.6,8,South
2023-03-31,Product C,Category 3,288.83,15,East
2023-03-31,Product C,Category 3,453.22,2,South
2023-03-31,Product C,Category 2,339.2,4,South
2023-03-31,Product B,Category 3,488.68,3,West
2023-04-01,Product B,Category 2,389.31,17,North
2023-04-01,Product B,Category 1,488.47,3,West
2023-04-02,Product A,Category 2,447.23,11,North
2023-04-02,Product C,Category 1,280.26,8,North
2023-04-02,Product A,Category 2,125.75,14,South
2023-04-02,Product B,Category 3,459.98,13,North
2023-04-02,Product B,Category 2,402.99,13,East
2023-04-02,Product A,Category 1,495.59,8,West
2023-04-02,Product A,Category 2,170.66,11,South
2023-04-02,Product A,Category 3,420.33,15,West
2023-04-03,Product A,Category 3,487.75,15,East
2023-04-03,Product C,Category 1,284.13,17,North
2023-04-03,Product C,Category 1,349.38,16,East
2023-04-03,Product C,Category 2,447.99,4,North
2023-04-03,Product C,Category 3,404.04,6,East
2023-04-03,Product A,Category 2,296.02,5,South
2023-04-03,Product C,Category 2,458.12,13,East
2023-04-04,Product C,Category 3,65.51,3,South
2023-04-04,Product C,Category 3,221.31,6,South
2023-04-04,Product B,Category 2,108.52,11,West
2023-04-05,Product A,Category 3,203.8,5,West
2023-04-05,Product C,Category 1,257.0,15,East
2023-04-05,Product B,Category 1,148.6,13,South
2023-04-05,Product A,Category 2,219.64,17,North
2023-04-05,Product A,Category 2,91.53,16,West
2023-04-05,Product C,Category 2,485.31,5,East
2023-04-06,Product B,Category 1,124.72,15,North
2023-04-06,Product C,Category 3,213.4,16,West
2023-04-06,Product B,Category 2,316.13,3,North
2023-04-06,Product A,Category 1,117.73,5,North
2023-04-06,Product C,Category 2,180.51,11,North
2023-04-06,Product B,Category 1,252.43,5,South
2023-04-06,Product C,Category 1,136.07,18,East
2023-04-06,Product C,Category 1,230.59,2,East
2023-04-07,Product C,Category 1,353.94,16,North
2023-04-07,Product C,Category 3,58.1,11,West
2023-04-08,Product B,Category 3,107.98,5,West
2023-04-08,Product C,Category 2,124.53,9,East
2023-04-08,Product C,Category 3,237.02,9,West
2023-04-08,Product C,Category 3,287.25,7,North
2023-04-09,Product B,Category 2,350.08,5,West
2023-04-09,Product B,Category 3,346.6,17,South
2023-04-09,Product A,Category 2,216.68,16,East
2023-04-09,Product B,Category 1,371.77,12,East
2023-04-09,Product C,Category 1,146.58,16,South
2023-04-09,Product C,Category 2,334.47,17,East
2023-04-09,Product A,Category 1,92.37,6,South
2023-04-09,Product C,Category 2,318.34,9,North
2023-04-09,Product A,Category 2,198.68,13,East
2023-04-09,Product A,Category 2,381.9,13,North
2023-04-09,Product C,Category 1,423.31,11,East
2023-04-09,Product C,Category 1,109.26,2,North
2023-04-09,Product B,Category 2,433.33,15,East
2023-04-10,Product C,Category 1,273.27,7,North
2023-04-10,Product A,Category 1,271.14,11,East
2023-04-10,Product C,Category 2,213.02,14,West
2023-04-10,Product A,Category 1,186.44,17,East
2023-04-11,Product B,Category 2,376.53,2,East
2023-04-11,Product B,Category 1,340.01,18,West
2023-04-11,Product B,Category 2,303.22,11,South
2023-04-11,Product B,Category 2,428.93,6,East
2023-04-11,Product B,Category 3,191.71,4,East
2023-04-11,Product B,Category 1,489.85,13,North
2023-04-11,Product C,Category 2,217.37,15,South
2023-04-12,Product C,Category 3,369.56,15,West
2023-04-12,Product B,Category 2,463.72,8,East
2023-04-13,Product A,Category 3,174.0,14,West
2023-04-13,Product B,Category 1,78.14,2,West
2023-04-13,Product A,Category 1,236.37,13,West
2023-04-13,Product A,Category 1,92.32,9,North
2023-04-13,Product C,Category 1,455.58,13,East
2023-04-13,Product A,Category 1,144.43,5,West
2023-04-14,Product B,Category 1,102.08,3,West
2023-04-14,Product B,Category 1,404.96,13,North
2023-04-14,Product B,Category 2,421.04,19,West
2023-04-14,Product A,Category 1,208.67,8,West
2023-04-14,Product C,Category 2,130.21,17,East
2023-04-14,Product A,Category 2,229.72,4,South
2023-04-14,Product A,Category 1,177.09,12,East
2023-04-14,Product C,Category 1,296.74,16,East
2023-04-15,Product C,Category 1,401.91,16,North
2023-04-15,Product C,Category 3,237.25,14,East
2023-04-15,Product C,Category 2,226.34,11,East
2023-04-15,Product A,Category 2,359.33,15,East
2023-04-16,Product A,Category 2,355.8,12,South
2023-04-16,Product C,Category 3,404.47,8,South
2023-04-16,Product A,Category 2,118.21,6,North
2023-04-17,Product B,Category 1,105.07,19,East
2023-04-17,Product A,Category 3,236.51,3,North
2023-04-18,Product A,Category 2,378.72,15,East
2023-04-18,Product C,Category 2,498.69,16,West
2023-04-18,Product A,Category 1,143.99,8,South
2023-04-18,Product C,Category 3,401.1,2,North
2023-04-19,Product C,Category 1,185.86,11,North
2023-04-19,Product A,Category 3,264.19,2,East
2023-04-19,Product A,Category 3,108.47,8,South
2023-04-19,Product C,Category 3,175.02,10,South
2023-04-19,Product C,Category 3,116.18,10,South
2023-04-20,Product A,Category 2,434.4,6,West
2023-04-20,Product A,Category 3,172.21,1,South
2023-04-21,Product A,Category 3,252.77,13,East
2023-04-21,Product B,Category 2,120.37,10,West
2023-04-21,Product C,Category 2,336.22,17,West
2023-04-21,Product A,Category 3,152.33,2,West
2023-04-21,Product B,Category 3,231.1,11,East
2023-04-22,Product B,Category 1,419.64,16,West
2023-04-22,Product B,Category 3,479.68,16,South
2023-04-22,Product C,Category 1,289.09,14,East
2023-04-22,Product A,Category 3,354.39,8,West
2023-04-23,Product B,Category 1,434.84,17,South
2023-04-23,Product B,Category 1,124.17,13,West
2023-04-23,Product B,Category 1,97.85,19,West
2023-04-23,Product B,Category 2,51.72,13,North
2023-04-23,Product A,Category 1,429.0,11,East
2023-04-23,Product A,Category 1,178.38,17,East
2023-04-23,Product A,Category 1,476.98,5,West
2023-04-23,Product B,Category 3,496.28,6,North
2023-04-23,Product B,Category 2,373.91,16,North
2023-04-23,Product B,Category 2,477.14,6,South
2023-04-23,Product B,Category 3,245.98,1,West
2023-04-24,Product A,Category 3,334.44,18,West
2023-04-24,Product B,Category 3,89.69,18,South
2023-04-24,Product A,Category 3,337.04,8,South
2023-04-25,Product B,Category 2,176.15,18,East
2023-04-25,Product C,Category 1,77.28,10,North
2023-04-25,Product B,Category 2,64.76,6,North
2023-04-25,Product A,Category 1,258.28,19,North
2023-04-25,Product C,Category 3,226.84,16,South
2023-04-26,Product C,Category 1,111.89,15,North
2023-04-26,Product B,Category 1,269.53,12,East
2023-04-26,Product B,Category 2,455.14,12,West
2023-04-26,Product C,Category 1,221.73,11,North
2023-04-26,Product B,Category 3,99.84,9,North
2023-04-27,Product A,Category 3,76.87,18,South
2023-04-27,Product A,Category 3,135.07,18,West
2023-04-27,Product A,Category 1,185.22,14,South
2023-04-27,Product C,Category 2,336.9,15,North
2023-04-27,Product A,Category 3,170.0,4,East
2023-04-27,Product A,Category 1,422.07,10,West
2023-04-27,Product A,Category 2,348.35,4,East
2023-04-27,Product A,Category 2,50.95,17,East
2023-04-28,Product B,Category 1,457.41,8,East
2023-04-28,Product B,Category 2,422.04,18,West
2023-04-28,Product B,Category 2,445.66,13,East
2023-04-28,Product A,Category 1,483.04,15,West
2023-04-28,Product C,Category 1,308.91,6,East
2023-04-28,Product C,Category 2,143.29,3,South
2023-04-28,Product B,Category 2,281.61,14,West
2023-04-29,Product B,Category 1,247.34,3,South
2023-04-29,Product A,Category 2,209.42,16,South
2023-04-30,Product C,Category 1,86.99,16,West
2023-04-30,Product C,Category 3,52.74,1,West
2023-04-30,Product B,Category 2,491.05,3,West
2023-05-01,Product B,Category 1,463.19,11,East
2023-05-01,Product A,Category 2,488.06,9,North
2023-05-01,Product A,Category 2,294.11,15,South
2023-05-02,Product A,Category 3,240.07,8,North
2023-05-02,Product C,Category 3,171.04,14,East
2023-05-02,Product C,Category 2,212.98,9,West
2023-05-02,Product A,Category 1,311.99,14,South
2023-05-02,Product B,Category 1,410.62,8,North
2023-05-02,Product C,Category 2,124.36,1,North
2023-05-03,Product C,Category 2,50.08,11,North
2023-05-03,Product B,Category 1,164.22,1,North
2023-05-03,Product C,Category 2,442.46,17,West
2023-05-03,Product B,Category 1,260.14,10,North
2023-05-04,Product B,Category 3,323.09,17,East
2023-05-04,Product B,Category 1,453.63,4,West
2023-05-04,Product C,Category 1,68.25,3,South
2023-05-04,Product B,Category 3,62.23,4,South
2023-05-04,Product C,Category 1,393.17,14,South
2023-05-04,Product C,Category 3,325.81,13,South
2023-05-05,Product B,Category 2,406.27,7,East
2023-05-06,Product A,Category 2,417.54,6,South
2023-05-06,Product A,Category 1,80.83,17,North
2023-05-06,Product C,Category 1,164.89,15,South
2023-05-06,Product C,Category 2,260.67,6,West
2023-05-06,Product B,Category 1,381.69,16,North
2023-05-07,Product A,Category 1,420.49,18,East
